TimesH,Frame,1,2,3,4,5,6
60.04,60.04,0.0007,0.001,0.0011,0.0011,0.0003,0.0011
60.29,60.29,0.0007,0.0011,0.0011,0.0012,0.0003,0.0013
60.54,60.54,0.0009,0.0009,0.001,0.001,0.0003,0.0013
60.79,60.79,0.0007,0.0013,0.0009,0.0013,0.0002,0.0012
61.04,61.04,0.0006,0.0014,0.001,0.0013,0.0004,0.0011
61.29,61.29,0.0007,0.0009,0.0007,0.001,0.0003,0.0013
61.54,61.54,0.0005,0.001,0.0012,0.0011,0.0005,0.0012
61.79,61.79,0.0005,0.0009,0.0009,0.0011,0.0001,0.0012
62.04,62.04,0.0006,0.0011,0.001,0.001,0.0005,0.0013
62.29,62.29,0.0009,0.001,0.001,0.0009,0.0002,0.0013
62.54,62.54,0.0006,0.001,0.0008,0.001,0.0003,0.0011
62.79,62.79,0.0007,0.0012,0.001,0.0014,0.0003,0.0016
63.04,63.04,0.0003,0.001,0.0009,0.0012,0.0002,0.0012
63.29,63.29,0.0007,0.001,0.0009,0.0007,0.0005,0.0013
63.54,63.54,0.0008,0.0011,0.0013,0.0011,0.0006,0.0013
63.79,63.79,0.0003,0.0008,0.0006,0.0009,0.0002,0.0012
64.04,64.04,0.001,0.0012,0.0012,0.001,0.0006,0.0017
64.29,64.29,0.0005,0.0006,0.001,0.0007,0.0002,0.0009
64.54,64.54,0.0005,0.0012,0.0009,0.0013,0.0004,0.0015
64.79,64.79,0.0008,0.001,0.0012,0.0009,0.0004,0.0012
65.04,65.04,0.0005,0.0007,0.0009,0.001,0,0.0011
65.29,65.29,0.0006,0.001,0.0012,0.0014,0.0004,0.0014
65.54,65.54,0.0005,0.0012,0.0009,0.0007,0.0003,0.0006
65.79,65.79,0.0004,0.0012,0.0008,0.0015,0.0002,0.0013
66.04,66.04,0.0009,0.0011,0.0011,0.0011,0.0002,0.0012
66.29,66.29,0.0006,0.0009,0.001,0.0013,0.0005,0.0011
66.54,66.54,0.0006,0.0008,0.0011,0.0012,0.0000747,0.0014
66.79,66.79,0.0005,0.001,0.0013,0.0012,0.0004,0.0011
67.04,67.04,0.0008,0.0013,0.0013,0.0012,0.0005,0.001
67.29,67.29,0.0005,0.0009,0.0009,0.0012,0.0002,0.0009
67.55,67.55,0.0009,0.0012,0.001,0.0015,0.0005,0.0013
67.8,67.8,0.0003,0.001,0.0007,0.0013,0.0002,0.0008
68.05,68.05,0.0005,0.0006,0.001,0.0011,0.0003,0.0007
68.3,68.3,0.0017,0.0012,0.0012,0.0013,0.0005,0.0011
68.55,68.55,0.0006,0.0008,0.0012,0.0008,0.0003,0.0014
68.8,68.8,0.0007,0.0016,0.0008,0.0014,0.0001,0.001
69.05,69.05,0.0008,0.0014,0.0011,0.0017,0.0003,0.0013
69.3,69.3,0.0005,0.0009,0.0008,0.0009,0.0002,0.0008
69.55,69.55,0.0005,0.0013,0.0008,0.0016,0.0001,0.0016
69.8,69.8,0.0009,0.0007,0.001,0.0011,0.0000413,0.0011
70.05,70.05,0.0006,0.0012,0.0011,0.0013,0.0002,0.0013
70.3,70.3,0.0012,0.0012,0.0011,0.0017,0.0004,0.0015
70.55,70.55,0.0007,0.0006,0.0009,0.001,0.0004,0.0009
70.8,70.8,0.0007,0.0009,0.001,0.0013,0.0002,0.0012
71.05,71.05,0.0012,0.0011,0.0014,0.0014,0.0013,0.0015
71.3,71.3,0.0008,0.0015,0.001,0.0012,0.0000472,0.0011
71.55,71.55,0.0004,0.001,0.0009,0.0013,0,0.0013
71.8,71.8,0.0008,0.0008,0.0012,0.0014,0.0004,0.0011
72.05,72.05,0.0007,0.001,0.0008,0.0013,0.0000511,0.0012
72.3,72.3,0.0006,0.0011,0.0016,0.0013,0,0.0012
72.55,72.55,0.0008,0.0007,0.001,0.0012,0.0001,0.0009
72.8,72.8,0.0006,0.0007,0.0009,0.0011,0.0002,0.0014
73.05,73.05,0.001,0.0012,0.0011,0.0014,0.0004,0.0017
73.3,73.3,0.0009,0.0009,0.0008,0.0013,0.0003,0.0015
73.55,73.55,0.0008,0.0009,0.0013,0.0011,0.0000757,0.0012
73.8,73.8,0.0006,0.0009,0.0014,0.0014,0.0003,0.0011
74.05,74.05,0.0007,0.0012,0.0012,0.0014,0.0005,0.001
74.3,74.3,0.001,0.001,0.0009,0.0012,0.0002,0.0013
74.55,74.55,0.001,0.0012,0.0013,0.0015,0.0005,0.0011
74.8,74.8,0.0005,0.0009,0.0007,0.0013,0.0001,0.0009
75.05,75.05,0.0009,0.0009,0.0011,0.0013,0.0002,0.0011
75.3,75.3,0.0007,0.001,0.0011,0.0016,0.0006,0.0013
75.55,75.55,0.0011,0.0009,0.0014,0.0014,0.0004,0.001
75.8,75.8,0.0005,0.0012,0.0007,0.0014,0.0001,0.0009
76.05,76.05,0.0006,0.0014,0.0011,0.0015,0.0004,0.0012
76.3,76.3,0.0008,0.0008,0.0009,0.001,0.0002,0.0007
76.55,76.55,0.0008,0.0011,0.0012,0.0014,0.0003,0.0011
76.8,76.8,0.001,0.0007,0.0011,0.0015,0.0003,0.0012
77.05,77.05,0.0007,0.0006,0.001,0.0014,0.0002,0.0009
77.3,77.3,0.0007,0.0012,0.001,0.0015,0.0003,0.001
77.55,77.55,0.0008,0.0009,0.0006,0.0013,0.0002,0.001
77.8,77.8,0.0011,0.001,0.0011,0.0013,0.0005,0.0008
78.05,78.05,0.0006,0.0006,0.0007,0.0013,0.0003,0.001
78.3,78.3,0.0008,0.0011,0.001,0.0014,0.0003,0.0009
78.55,78.55,0.0009,0.0009,0.0009,0.0009,0.0003,0.0007
78.8,78.8,0.0009,0.0008,0.0008,0.0012,0.0002,0.001
79.05,79.05,0.0009,0.0007,0.001,0.0013,0.0004,0.0012
79.3,79.3,0.0007,0.0006,0.0007,0.0011,0.0002,0.0006
79.55,79.55,0.0012,0.001,0.001,0.0012,0.0003,0.0012
79.8,79.8,0.0006,0.0006,0.0008,0.0012,0.0000423,0.0008
80.05,80.05,0.0008,0.0008,0.0012,0.0011,0.0004,0.0009
80.3,80.3,0.0009,0.0009,0.0007,0.0012,0.0002,0.0011
80.55,80.55,0.0005,0.0007,0.0009,0.001,0.0005,0.0011
80.8,80.8,0.0008,0.0012,0.001,0.0014,0.0005,0.0008
81.05,81.05,0.0005,0.0006,0.0006,0.0012,0.0005,0.0005
81.3,81.3,0.0009,0.0009,0.001,0.0011,0.0006,0.0009
81.55,81.55,0.0007,0.0006,0.0007,0.0011,0.0002,0.0005
81.8,81.8,0.0007,0.0007,0.0007,0.0011,0.0003,0.0009
82.05,82.05,0.0009,0.0007,0.001,0.001,0.0006,0.0008
82.3,82.3,0.0004,0.0007,0.0004,0.0009,0,0.0009
82.56,82.56,0.0009,0.0008,0.0009,0.0011,0.0002,0.0008
82.81,82.81,0.0007,0.0005,0.0009,0.0008,0.0002,0.0006
83.06,83.06,0.0008,0.0007,0.0005,0.001,0.0005,0.001
83.31,83.31,0.0007,0.0009,0.0008,0.001,0.0003,0.0005
83.56,83.56,0.0006,0.0005,0.0007,0.001,0.0005,0.0007
83.81,83.81,0.0011,0.0009,0.0009,0.0011,0.0004,0.0008
84.06,84.06,0.0006,0.0005,0.0006,0.001,0.0000698,0.0008
84.31,84.31,0.0007,0.0006,0.0008,0.001,0.0004,0.0008
84.56,84.56,0.0003,0.0008,0.0009,0.0011,0.0003,0.0008
84.81,84.81,0.0005,0.0005,0.0005,0.0008,0.0004,0.0008
85.06,85.06,0.0007,0.0007,0.0011,0.001,0.0007,0.0007
85.31,85.31,0.0005,0.0005,0.0006,0.0006,0.0001,0.0003
85.56,85.56,0.0008,0.0007,0.0005,0.0011,0.0003,0.0006
85.81,85.81,0.0009,0.0007,0.0007,0.0013,0.0001,0.0004
86.06,86.06,0.0005,0.0005,0.0004,0.0008,0.0001,0.0006
86.31,86.31,0.0008,0.0006,0.0008,0.0009,0.0006,0.0007
86.56,86.56,0.0008,0.0005,0.0007,0.0007,0.0002,0.0007
86.81,86.81,0.0008,0.0008,0.0008,0.0012,0.0004,0.0009
87.06,87.06,0.0004,0.0005,0.0005,0.0006,0.0000541,0.0006
87.31,87.31,0.0007,0.0005,0.0008,0.0008,0.0006,0.0006
87.56,87.56,0.0004,0.0005,0.0005,0.0008,0.000057,0.0007
87.81,87.81,0.0006,0.0005,0.0006,0.0009,0.0004,0.0006
88.06,88.06,0.0007,0.0013,0.0009,0.0009,0.0003,0.0007
88.31,88.31,0.0006,0.0002,0.0005,0.0007,0.0004,0.0003
88.56,88.56,0.0009,0.0004,0.0007,0.0008,0.0003,0.0006
88.81,88.81,0.0009,0.0006,0.0003,0.0009,0.0003,0.0003
89.06,89.06,0.0007,0.0005,0.0004,0.0005,0.0003,0.0006
89.31,89.31,0.0007,0.0009,0.0008,0.001,0.0005,0.0007
89.56,89.56,0.0007,0.0009,0.0002,0.0008,0.0002,0.0004
89.81,89.81,0.0008,0.0006,0.0006,0.001,0.0006,0.0007
90.06,90.06,0.0006,0.0006,0.0005,0.0012,0.0004,0.0005
90.31,90.31,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004
90.56,90.56,0.0006,0.0003,0.0004,0.0009,0.0002,0.0007
90.81,90.81,0.0006,0.0008,0.0005,0.001,0.0006,0.0009
91.06,91.06,0.0006,0.0003,0.0003,0.0008,0,0.0005
91.31,91.31,0.0006,0.0005,0.0001,0.0003,0.0003,0.0002
91.56,91.56,0.0006,0.0006,0.0006,0.0009,0.0002,0.0005
91.81,91.81,0.0006,0.0004,0.0006,0.0006,0.0002,0.0004
92.06,92.06,0.0007,0.0008,0.0006,0.0011,0.0002,0.0006
92.31,92.31,0.0007,0.0005,0.0008,0.0008,0.0002,0.0005
92.56,92.56,0.0007,0.0003,0.0003,0.0008,0.0001,0.0005
92.81,92.81,0.0005,0.0005,0.0002,0.0008,0.0003,0.0003
